# ecut,   Bind_x,   Bind_y,   Bind_z,    Bext,    sigma_x(ppm),   sigma_y,   sigma_z
80 2.1207e-08 -1.49742e-16 0 0.00698132 0.00203274 -1.43531e-11 0
80 2.1207e-08 -6.4395e-20 0 0.00698132 0.00203274 -6.17242e-15 0
80 2.1207e-08 2.43908e-19 0 0.00698132 0.00203274 2.33792e-14 0
85 2.14956e-08 -1.35023e-10 0 0.00698132 0.00206041 -1.29423e-05 0
85 2.29914e-08 -1.5333e-13 0 0.00698132 0.00220378 -1.46971e-08 0
85 2.29948e-08 -3.15774e-16 0 0.00698132 0.0022041 -3.02677e-11 0
85 2.29948e-08 -6.43421e-19 0 0.00698132 0.0022041 -6.16735e-14 0
85 2.29948e-08 2.62297e-20 0 0.00698132 0.0022041 2.51418e-15 0
90 2.11176e-08 2.25468e-10 0 0.00698132 0.00202417 2.16116e-05 0
90 2.3131e-08 2.27139e-13 0 0.00698132 0.00221716 2.17718e-08 0
90 2.31388e-08 1.49898e-15 0 0.00698132 0.00221791 1.43681e-10 0
90 2.31388e-08 6.24841e-18 0 0.00698132 0.00221791 5.98925e-13 0
90 2.31388e-08 3.4552e-20 0 0.00698132 0.00221791 3.31189e-15 0
95 2.05512e-08 3.66443e-10 0 0.00698132 0.00196988 3.51245e-05 0
95 2.31236e-08 4.11231e-13 0 0.00698132 0.00221646 3.94175e-08 0
95 2.31388e-08 3.62639e-15 0 0.00698132 0.00221791 3.47598e-10 0
95 2.31388e-08 2.18142e-17 0 0.00698132 0.00221791 2.09094e-12 0
95 2.31388e-08 1.13939e-19 0 0.00698132 0.00221791 1.09214e-14 0
100 2.31392e-08 -3.17772e-10 0 0.00698132 0.00221795 -3.04592e-05 0
100 2.62051e-08 -9.60866e-13 0 0.00698132 0.00251182 -9.21013e-08 0
100 2.62296e-08 -7.29344e-15 0 0.00698132 0.00251417 -6.99094e-10 0
100 2.62297e-08 -4.99103e-17 0 0.00698132 0.00251418 -4.78402e-12 0
100 2.62297e-08 -2.74066e-19 0 0.00698132 0.00251418 -2.62699e-14 0
105 2.25276e-08 -4.42587e-10 0 0.00698132 0.00215933 -4.24231e-05 0
105 2.61877e-08 -1.61783e-12 0 0.00698132 0.00251016 -1.55073e-07 0
105 2.62295e-08 -1.51474e-14 0 0.00698132 0.00251416 -1.45191e-09 0
105 2.62297e-08 -1.36766e-16 0 0.00698132 0.00251418 -1.31094e-11 0
105 2.62297e-08 -1.01726e-18 0 0.00698132 0.00251418 -9.75066e-14 0
110 2.19431e-08 -5.97643e-10 0 0.00698132 0.0021033 -5.72855e-05 0
110 2.6162e-08 -2.61421e-12 0 0.00698132 0.00250769 -2.50578e-07 0
110 2.62293e-08 -2.91386e-14 0 0.00698132 0.00251414 -2.79301e-09 0
110 2.62297e-08 -3.36987e-16 0 0.00698132 0.00251418 -3.23011e-11 0
110 2.62297e-08 -3.25715e-18 0 0.00698132 0.00251418 -3.12206e-13 0
115 2.14222e-08 -7.86795e-10 0 0.00698132 0.00205337 -7.54162e-05 0
115 2.61259e-08 -4.08972e-12 0 0.00698132 0.00250423 -3.92009e-07 0
115 2.62288e-08 -5.27091e-14 0 0.00698132 0.00251409 -5.05229e-09 0
115 2.62297e-08 -7.6016e-16 0 0.00698132 0.00251418 -7.28631e-11 0
115 2.62297e-08 -9.29658e-18 0 0.00698132 0.00251418 -8.91099e-13 0
120 2.09992e-08 -1.01393e-09 0 0.00698132 0.00201283 -9.71874e-05 0
120 2.6077e-08 -6.23097e-12 0 0.00698132 0.00249954 -5.97253e-07 0
120 2.6228e-08 -9.08074e-14 0 0.00698132 0.00251402 -8.70411e-09 0
120 2.62297e-08 -1.59428e-15 0 0.00698132 0.00251418 -1.52815e-10 0
120 2.62297e-08 -2.4159e-17 0 0.00698132 0.00251418 -2.3157e-12 0
125 2.07063e-08 -1.28227e-09 0 0.00698132 0.00198475 -0.000122908 0
125 2.6013e-08 -9.26871e-12 0 0.00698132 0.00249341 -8.88428e-07 0
125 2.62267e-08 -1.50257e-13 0 0.00698132 0.00251389 -1.44025e-08 0
125 2.62297e-08 -3.14326e-15 0 0.00698132 0.00251418 -3.01289e-10 0
125 2.62297e-08 -5.79438e-17 0 0.00698132 0.00251418 -5.55406e-12 0
130 2.05706e-08 -1.59395e-09 0 0.00698132 0.00197175 -0.000152784 0
130 2.59316e-08 -1.34778e-11 0 0.00698132 0.00248561 -1.29188e-06 0
130 2.62246e-08 -2.40093e-13 0 0.00698132 0.00251369 -2.30135e-08 0
130 2.62297e-08 -5.86931e-15 0 0.00698132 0.00251418 -5.62588e-10 0
130 2.62297e-08 -1.29496e-16 0 0.00698132 0.00251418 -1.24125e-11 0
135 2.22861e-08 -1.9015e-09 0 0.00698132 0.00213618 -0.000182263 0
135 2.3094e-08 -1.54117e-11 0 0.00698132 0.00221361 -1.47725e-06 0
135 2.33964e-08 -2.21783e-13 0 0.00698132 0.0022426 -2.12584e-08 0
