2.65 m^3 1.48885
2.66 m^3 1.47005
2.67 m^3 1.45129
2.68 m^3 1.43258
2.69 m^3 1.41391
2.7 m^3 1.39529
2.71 m^3 1.37672
2.72 m^3 1.35819
2.73 m^3 1.33971
2.74 m^3 1.32126
2.75 m^3 1.30287
2.76 m^3 1.28451
2.77 m^3 1.2662
2.78 m^3 1.24793
2.79 m^3 1.2297
2.8 m^3 1.21151
2.81 m^3 1.19336
2.82 m^3 1.17526
2.83 m^3 1.15719
2.84 m^3 1.13916
2.85 m^3 1.12118
2.86 m^3 1.10323
2.87 m^3 1.08532
2.88 m^3 1.06744
2.89 m^3 1.04961
2.9 m^3 1.03181
2.91 m^3 1.01405
2.92 m^3 0.996329
2.93 m^3 0.978642
2.94 m^3 0.960991
2.95 m^3 0.943375
2.96 m^3 0.925794
2.97 m^3 0.908249
2.98 m^3 0.890738
2.99 m^3 0.873261
3 m^3 0.855818
3.01 m^3 0.838409
3.02 m^3 0.821034
3.03 m^3 0.803691
3.04 m^3 0.786381
3.05 m^3 0.769103
3.06 m^3 0.751858
3.07 m^3 0.734644
3.08 m^3 0.717462
3.09 m^3 0.70031
3.1 m^3 0.68319
3.11 m^3 0.666101
3.12 m^3 0.649042
3.13 m^3 0.632013
3.14 m^3 0.615013
3.15 m^3 0.598044
3.16 m^3 0.581103
3.17 m^3 0.564192
3.18 m^3 0.547309
3.19 m^3 0.530455
3.2 m^3 0.513629
3.21 m^3 0.496831
3.22 m^3 0.48006
3.23 m^3 0.463317
3.24 m^3 0.446602
3.25 m^3 0.429913
3.26 m^3 0.413251
3.27 m^3 0.396615
3.28 m^3 0.380006
3.29 m^3 0.363423
3.3 m^3 0.346866
3.31 m^3 0.330334
3.32 m^3 0.313827
3.33 m^3 0.297346
3.34 m^3 0.280889
3.35 m^3 0.264458
3.36 m^3 0.24805
3.37 m^3 0.231667
3.38 m^3 0.215308
3.39 m^3 0.198973
3.4 m^3 0.182661
3.41 m^3 0.166373
3.42 m^3 0.150108
3.43 m^3 0.133866
3.44 m^3 0.117647
3.45 m^3 0.10145
3.46 m^3 0.0852757
3.47 m^3 0.0691237
3.48 m^3 0.0529937
3.49 m^3 0.0368856
3.5 m^3 0.0207991
3.51 m^3 0.00473404
3.52 m^3 -0.0113097
3.53 m^3 -0.0273324
3.54 m^3 -0.0433341
3.55 m^3 -0.0593151
3.56 m^3 -0.0752756
3.57 m^3 -0.0912157
3.58 m^3 -0.107136
3.59 m^3 -0.123035
3.6 m^3 -0.138915
3.61 m^3 -0.154776
3.62 m^3 -0.170616
3.63 m^3 -0.186438
3.64 m^3 -0.20224
3.65 m^3 -0.218023
3.66 m^3 -0.233787
3.67 m^3 -0.249533
3.68 m^3 -0.265259
3.69 m^3 -0.280968
3.7 m^3 -0.296658
3.71 m^3 -0.31233
3.72 m^3 -0.327985
3.73 m^3 -0.343621
3.74 m^3 -0.35924
3.75 m^3 -0.374841
3.76 m^3 -0.390425
3.77 m^3 -0.405992
3.78 m^3 -0.421541
3.79 m^3 -0.437074
3.8 m^3 -0.45259
3.81 m^3 -0.468089
